bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-60  0  0    0.148;  00000  00000  0.148 0.002 0.000 0.002 0.001
NonSP-70  0  0    0.032;  00000  00000  0.002 0.000 0.032 0.001 0.001
NonSP-133  0  0    0.056;  00000  00000  0.036 0.056 0.002 0.008 0.002
NonSP-111  0  0    0.005;  00000  00000  0.005 0.002 0.001 0.001 0.002
NonSP-28  0  0    0.009;  00000  00000  0.009 0.002 0.002 0.007 0.003
NonSP-27  0  0    0.008;  00000  00000  0.008 0.000 0.000 0.006 0.001
NonSP-126  0  0    0.023;  00000  00000  0.023 0.019 0.003 0.001 0.003
NonSP-127  0  0    0.016;  00000  00000  0.016 0.008 0.002 0.001 0.003
NonSP-119  1  0    0.771;  00100  00000  0.097 0.004 0.771 0.014 0.004
NonSP-21  0  0    0.006;  00000  00000  0.006 0.002 0.002 0.002 0.002
NonSP-115  0  0    0.012;  00000  00000  0.012 0.002 0.004 0.008 0.002
SP-84  0  1    0.036;  00000  11000  0.006 0.036 0.001 0.001 0.001
NonSP-46  0  0    0.068;  00000  00000  0.068 0.002 0.001 0.004 0.003
SP-85  0  1    0.016;  00000  11000  0.003 0.016 0.009 0.001 0.000
NonSP-75  0  0    0.004;  00000  00000  0.002 0.001 0.004 0.001 0.001
NonSP-5  0  0    0.002;  00000  00000  0.001 0.002 0.001 0.001 0.001
NonSP-29  0  0    0.006;  00000  00000  0.002 0.006 0.002 0.001 0.003
NonSP-76  0  0    0.023;  00000  00000  0.001 0.002 0.023 0.007 0.001
NonSP-10  0  0    0.008;  00000  00000  0.004 0.005 0.006 0.008 0.001
NonSP-36  0  0    0.003;  00000  00000  0.003 0.003 0.001 0.000 0.002
NonSP-114  0  0    0.019;  00000  00000  0.012 0.019 0.002 0.002 0.005
SP-97  1  1    0.974;  01000  11000  0.000 0.974 0.002 0.000 0.002
NonSP-105  0  0    0.013;  00000  00000  0.013 0.001 0.000 0.000 0.000
NonSP-124  0  0    0.008;  00000  00000  0.004 0.004 0.008 0.001 0.001
NonSP-26  0  0    0.003;  00000  00000  0.002 0.001 0.003 0.000 0.003
NonSP-40  0  0    0.016;  00000  00000  0.016 0.001 0.008 0.001 0.004
NonSP-1  0  0    0.006;  00000  00000  0.001 0.001 0.005 0.001 0.006

TP TN FP FN Accu Prec Reca F1 
1 128 5 1 0.956 0.167 0.500 0.250
