bagName  bagPred  bagTruth  bagProb  instPred  instTruth  instProb 
NonSP-4  0  0    0.003;  00000  00000  0.001 0.001 0.003 0.000 0.002
NonSP-64  0  0    0.007;  00000  00000  0.005 0.004 0.001 0.000 0.007
NonSP-63  0  0    0.003;  00000  00000  0.002 0.003 0.001 0.000 0.001
NonSP-52  0  0    0.026;  00000  00000  0.026 0.001 0.006 0.001 0.000
NonSP-2  0  0    0.004;  00000  00000  0.001 0.004 0.002 0.002 0.001
NonSP-99  0  0    0.004;  00000  00000  0.001 0.004 0.002 0.001 0.001
NonSP-39  0  0    0.005;  00000  00000  0.005 0.001 0.001 0.002 0.001
SP-93  1  1    0.987;  01000  11000  0.001 0.987 0.001 0.001 0.000
NonSP-60  0  0    0.335;  00000  00000  0.335 0.002 0.000 0.002 0.001
NonSP-51  0  0    0.012;  00000  00000  0.005 0.001 0.000 0.012 0.000
NonSP-117  0  0    0.021;  00000  00000  0.021 0.003 0.003 0.001 0.001
NonSP-11  0  0    0.003;  00000  00000  0.003 0.002 0.001 0.003 0.001
NonSP-14  0  0    0.003;  00000  00000  0.000 0.000 0.003 0.001 0.002
NonSP-18  0  0    0.006;  00000  00000  0.003 0.002 0.000 0.006 0.001
NonSP-120  0  0    0.092;  00000  00000  0.004 0.005 0.092 0.003 0.002
NonSP-10  0  0    0.008;  00000  00000  0.003 0.007 0.007 0.008 0.001
NonSP-28  0  0    0.010;  00000  00000  0.010 0.002 0.004 0.009 0.004
NonSP-122  0  0    0.250;  00000  00000  0.250 0.002 0.056 0.003 0.001
NonSP-66  0  0    0.003;  00000  00000  0.003 0.003 0.002 0.001 0.002
NonSP-48  0  0    0.020;  00000  00000  0.020 0.001 0.001 0.000 0.000
NonSP-20  0  0    0.003;  00000  00000  0.002 0.000 0.002 0.002 0.003
SP-84  0  1    0.069;  00000  11000  0.004 0.069 0.001 0.001 0.001
NonSP-5  0  0    0.002;  00000  00000  0.001 0.002 0.001 0.001 0.001
NonSP-121  0  0    0.012;  00000  00000  0.007 0.002 0.001 0.012 0.003
NonSP-82  0  0    0.071;  00000  00000  0.001 0.001 0.071 0.000 0.006
NonSP-114  0  0    0.028;  00000  00000  0.028 0.017 0.003 0.002 0.003
NonSP-44  0  0    0.049;  00000  00000  0.049 0.001 0.001 0.001 0.001

TP TN FP FN Accu Prec Reca F1 
1 131 3 0 0.978 0.250 1.000 0.400
